???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2020-04,England,9,1360,58,0.662
Goats,AnteMortem,Abnormal Respiratory Signs,2020-05,England,63,5428,57,1.161
Goats,AnteMortem,Abnormal Respiratory Signs,2020-06,England,6,1769,65,0.339
Goats,AnteMortem,Abnormal Swelling (e.g. Bloat),2020-06,England,1,1769,65,0.057
Goats,AnteMortem,Dead in Lairage (DIL),2020-04,England,1,1360,58,0.074
Goats,AnteMortem,Dead in Lairage (DIL),2020-05,England,4,5428,57,0.074
Goats,AnteMortem,Dead on Arrival (DOA),2020-05,England,1,5428,57,0.018
Goats,AnteMortem,Emaciation,2020-05,England,2,5428,57,0.037
Goats,AnteMortem,Eye Condition,2020-04,England,3,1360,58,0.221
Goats,AnteMortem,Eye Condition,2020-05,England,12,5428,57,0.221
Goats,AnteMortem,Eye Condition,2020-06,England,1,1769,65,0.057
Goats,AnteMortem,Lameness - Foot Lesion(s),2020-04,England,2,1360,58,0.147
Goats,AnteMortem,Lameness - Foot Lesion(s),2020-05,England,6,5428,57,0.111
Goats,AnteMortem,Lameness - Foot Lesion(s),2020-06,England,2,1769,65,0.113
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2020-04,England,2,1360,58,0.147
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2020-06,England,7,1769,65,0.396
Goats,AnteMortem,Lameness - Not Defined,2020-04,England,4,1360,58,0.294
Goats,AnteMortem,Lameness - Not Defined,2020-05,England,12,5428,57,0.221
Goats,AnteMortem,Lameness - Not Defined,2020-06,England,11,1769,65,0.622
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2020-04,England,2,1360,58,0.147
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2020-05,England,4,5428,57,0.074
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2020-06,England,1,1769,65,0.057
Goats,AnteMortem,Mastitis,2020-04,England,1,1360,58,0.074
Goats,AnteMortem,Mastitis,2020-05,England,1,5428,57,0.018
Goats,AnteMortem,Mastitis,2020-06,England,3,1769,65,0.17
Goats,AnteMortem,Orf,2020-05,England,4,5428,57,0.074
Goats,AnteMortem,Other *,2020-04,England,1,1360,58,0.074
Goats,AnteMortem,Skin Condition,2020-05,England,26,5428,57,0.479
Goats,AnteMortem,Slaughtered in Lairage,2020-05,England,1,5428,57,0.018
Goats,Carcase,Abscess Forequarters,2020-04,England,37,1360,58,2.721
Goats,Carcase,Abscess Forequarters,2020-05,England,50,5428,57,0.921
Goats,Carcase,Abscess Forequarters,2020-06,England,59,1769,65,3.335
Goats,Carcase,Abscess Hindquarters,2020-04,England,3,1360,58,0.221
Goats,Carcase,Abscess Hindquarters,2020-05,England,5,5428,57,0.092
Goats,Carcase,Abscess Hindquarters,2020-06,England,8,1769,65,0.452
Goats,Carcase,Abscess Neck,2020-04,England,7,1360,58,0.515
Goats,Carcase,Abscess Neck,2020-05,England,21,5428,57,0.387
Goats,Carcase,Abscess Neck,2020-06,England,27,1769,65,1.526
Goats,Carcase,Bruising ??? Traumatic,2020-05,England,6,5428,57,0.111
Goats,Carcase,Bruising ??? Traumatic,2020-06,England,7,1769,65,0.396
Goats,Carcase,Contamination,2020-04,England,4,1360,58,0.294
Goats,Carcase,Contamination,2020-05,England,109,5428,57,2.008
Goats,Carcase,Contamination,2020-06,England,5,1769,65,0.283
Goats,Carcase,Contamination,2020-06,Wales,1,25,7,4
Goats,Carcase,Cysticercus ovis (Carcase),2020-05,England,6,5428,57,0.111
Goats,Carcase,Joint Lesions,2020-04,England,17,1360,58,1.25
Goats,Carcase,Joint Lesions,2020-05,England,20,5428,57,0.368
Goats,Carcase,Joint Lesions,2020-06,England,27,1769,65,1.526
Goats,Carcase,Other,2020-04,England,6,1360,58,0.441
Goats,Carcase,Other,2020-05,England,24,5428,57,0.442
Goats,Carcase,Other,2020-06,England,7,1769,65,0.396
Goats,Offal,Contamination,2020-04,England,9,1360,58,0.662
Goats,Offal,Contamination,2020-05,England,33,5428,57,0.608
Goats,Offal,Contamination,2020-06,England,15,1769,65,0.848
Goats,Offal,Contamination,2020-04,Wales,2,8,3,25
