Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2018-04,England,5,1730,70,0.289
Goats,AnteMortem,Abnormal Respiratory Signs,2018-05,England,7,1751,72,0.4
Goats,AnteMortem,Abnormal Respiratory Signs,2018-06,England,2,1709,65,0.117
Goats,AnteMortem,Dead in Lairage (DIL),2018-04,England,4,1730,70,0.231
Goats,AnteMortem,Dead on Arrival (DOA),2018-05,England,4,1751,72,0.228
Goats,AnteMortem,Emaciation,2018-05,England,2,1751,72,0.114
Goats,AnteMortem,Emaciation,2018-06,England,8,1709,65,0.468
Goats,AnteMortem,Eye Condition,2018-04,England,4,1730,70,0.231
Goats,AnteMortem,Eye Condition,2018-05,England,2,1751,72,0.114
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-04,England,7,1730,70,0.405
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-05,England,5,1751,72,0.286
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-06,England,3,1709,65,0.176
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-04,Wales,1,19,6,5.263
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-04,England,5,1730,70,0.289
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-05,England,5,1751,72,0.286
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-06,England,4,1709,65,0.234
Goats,AnteMortem,Lameness - Not Defined,2018-04,England,3,1730,70,0.173
Goats,AnteMortem,Lameness - Not Defined,2018-05,England,5,1751,72,0.286
Goats,AnteMortem,Lameness - Not Defined,2018-06,England,1,1709,65,0.059
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2018-04,England,4,1730,70,0.231
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2018-05,England,4,1751,72,0.228
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2018-06,England,1,1709,65,0.059
Goats,AnteMortem,Mastitis,2018-04,England,1,1730,70,0.058
Goats,AnteMortem,Mastitis,2018-05,England,3,1751,72,0.171
Goats,AnteMortem,Mastitis,2018-06,England,1,1709,65,0.059
Goats,AnteMortem,Moribund/ Recumbent,2018-04,England,1,1730,70,0.058
Goats,AnteMortem,Other *,2018-04,England,2,1730,70,0.116
Goats,AnteMortem,Skin Condition,2018-04,England,2,1730,70,0.116
Goats,AnteMortem,Skin Condition,2018-05,England,3,1751,72,0.171
Goats,AnteMortem,Skin Condition,2018-06,England,2,1709,65,0.117
Goats,AnteMortem,Slaughtered in Lairage,2018-04,England,3,1730,70,0.173
Goats,Carcase,Abscess Forequarters,2018-04,England,36,1730,70,2.081
Goats,Carcase,Abscess Forequarters,2018-05,England,26,1751,72,1.485
Goats,Carcase,Abscess Forequarters,2018-06,England,28,1709,65,1.638
Goats,Carcase,Abscess Hindquarters,2018-04,England,1,1730,70,0.058
Goats,Carcase,Abscess Hindquarters,2018-05,England,10,1751,72,0.571
Goats,Carcase,Abscess Hindquarters,2018-06,England,1,1709,65,0.059
Goats,Carcase,Abscess Neck,2018-04,England,8,1730,70,0.462
Goats,Carcase,Abscess Neck,2018-05,England,7,1751,72,0.4
Goats,Carcase,Abscess Neck,2018-06,England,8,1709,65,0.468
Goats,Carcase,Bruising ? Traumatic,2018-04,England,1,1730,70,0.058
Goats,Carcase,Contamination,2018-04,England,12,1730,70,0.694
Goats,Carcase,Contamination,2018-05,England,5,1751,72,0.286
Goats,Carcase,Contamination,2018-06,England,9,1709,65,0.527
Goats,Carcase,Joint Lesions,2018-04,England,9,1730,70,0.52
Goats,Carcase,Joint Lesions,2018-05,England,2,1751,72,0.114
Goats,Carcase,Joint Lesions,2018-06,England,8,1709,65,0.468
Goats,Carcase,Joint Lesions,2018-04,Wales,1,19,6,5.263
Goats,Carcase,Other,2018-04,England,11,1730,70,0.636
Goats,Carcase,Other,2018-05,England,22,1751,72,1.256
