Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2019-01,England,3,1399,69,0.214
Goats,AnteMortem,Abnormal Respiratory Signs,2019-02,England,1,1528,67,0.065
Goats,AnteMortem,Abnormal Respiratory Signs,2019-03,England,4,1343,66,0.298
Goats,AnteMortem,Dead in Lairage (DIL),2019-02,England,1,1528,67,0.065
Goats,AnteMortem,Eye Condition,2019-02,England,1,1528,67,0.065
Goats,AnteMortem,Lameness - Foot Lesion(s),2019-01,England,4,1399,69,0.286
Goats,AnteMortem,Lameness - Foot Lesion(s),2019-02,England,4,1528,67,0.262
Goats,AnteMortem,Lameness - Foot Lesion(s),2019-03,England,5,1343,66,0.372
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-01,England,6,1399,69,0.429
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-02,England,1,1528,67,0.065
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-03,England,6,1343,66,0.447
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2019-01,England,5,1399,69,0.357
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2019-02,England,1,1528,67,0.065
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2019-03,England,7,1343,66,0.521
Goats,AnteMortem,Other *,2019-01,England,1,1399,69,0.071
Goats,AnteMortem,Skin Condition,2019-01,England,1,1399,69,0.071
Goats,AnteMortem,Skin Condition,2019-03,England,1,1343,66,0.074
Goats,AnteMortem,Trauma - Soft Tissue,2019-03,England,1,1343,66,0.074
Goats,Carcase,Abscess Forequarters,2019-01,England,37,1399,69,2.645
Goats,Carcase,Abscess Forequarters,2019-02,England,47,1528,67,3.076
Goats,Carcase,Abscess Forequarters,2019-03,England,25,1343,66,1.862
Goats,Carcase,Abscess Hindquarters,2019-01,England,9,1399,69,0.643
Goats,Carcase,Abscess Hindquarters,2019-02,England,4,1528,67,0.262
Goats,Carcase,Abscess Hindquarters,2019-03,England,4,1343,66,0.298
Goats,Carcase,Abscess Neck,2019-01,England,3,1399,69,0.214
Goats,Carcase,Abscess Neck,2019-02,England,4,1528,67,0.262
Goats,Carcase,Abscess Neck,2019-03,England,5,1343,66,0.372
Goats,Carcase,Bruising ? Traumatic,2019-01,England,1,1399,69,0.071
Goats,Carcase,Bruising ? Traumatic,2019-02,England,4,1528,67,0.262
Goats,Carcase,Bruising ? Traumatic,2019-03,England,1,1343,66,0.074
Goats,Carcase,Contamination,2019-01,England,13,1399,69,0.929
Goats,Carcase,Contamination,2019-02,England,10,1528,67,0.654
Goats,Carcase,Contamination,2019-03,England,16,1343,66,1.191
Goats,Carcase,Cysticercus ovis (Carcase),2019-03,England,1,1343,66,0.074
Goats,Carcase,Joint Lesions,2019-01,England,7,1399,69,0.5
Goats,Carcase,Joint Lesions,2019-02,England,6,1528,67,0.393
Goats,Carcase,Joint Lesions,2019-03,England,5,1343,66,0.372
Goats,Carcase,Other,2019-01,England,8,1399,69,0.572
Goats,Carcase,Other,2019-02,England,2,1528,67,0.131
Goats,Carcase,Other,2019-03,England,5,1343,66,0.372
