???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2020-01,England,9,1375,59,0.655
Goats,AnteMortem,Abnormal Respiratory Signs,2020-02,England,8,1530,61,0.523
Goats,AnteMortem,Abnormal Respiratory Signs,2020-03,England,1,2244,68,0.045
Goats,AnteMortem,Dead on Arrival (DOA),2020-02,England,1,1530,61,0.065
Goats,AnteMortem,Dead on Arrival (DOA),2020-02,England,1,1530,61,0.065
Goats,AnteMortem,Emaciation,2020-01,England,1,1375,59,0.073
Goats,AnteMortem,Emaciation,2020-03,England,1,2244,68,0.045
Goats,AnteMortem,Eye Condition,2020-02,England,2,1530,61,0.131
Goats,AnteMortem,Eye Condition,2020-03,England,9,2244,68,0.401
Goats,AnteMortem,Lameness - Foot Lesion(s),2020-02,England,9,1530,61,0.588
Goats,AnteMortem,Lameness - Foot Lesion(s),2020-03,England,1,2244,68,0.045
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2020-02,England,9,1530,61,0.588
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2020-03,England,4,2244,68,0.178
Goats,AnteMortem,Lameness - Not Defined,2020-01,England,1,1375,59,0.073
Goats,AnteMortem,Lameness - Not Defined,2020-02,England,5,1530,61,0.327
Goats,AnteMortem,Lameness - Not Defined,2020-03,England,3,2244,68,0.134
Goats,AnteMortem,Lameness - Not Defined,2020-03,Wales,2,45,6,4.444
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2020-01,England,2,1375,59,0.145
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2020-02,England,1,1530,61,0.065
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2020-03,England,11,2244,68,0.49
Goats,AnteMortem,Mastitis,2020-03,England,3,2244,68,0.134
Goats,AnteMortem,Other *,2020-01,England,2,1375,59,0.145
Goats,AnteMortem,Other *,2020-02,England,2,1530,61,0.131
Goats,AnteMortem,Prolapsed,2020-02,England,1,1530,61,0.065
Goats,AnteMortem,Skin Condition,2020-02,England,1,1530,61,0.065
Goats,AnteMortem,Skin Condition,2020-03,England,4,2244,68,0.178
Goats,Carcase,Abscess Forequarters,2020-01,England,49,1375,59,3.564
Goats,Carcase,Abscess Forequarters,2020-02,England,47,1530,61,3.072
Goats,Carcase,Abscess Forequarters,2020-03,England,50,2244,68,2.228
Goats,Carcase,Abscess Hindquarters,2020-01,England,2,1375,59,0.145
Goats,Carcase,Abscess Hindquarters,2020-02,England,4,1530,61,0.261
Goats,Carcase,Abscess Hindquarters,2020-03,England,18,2244,68,0.802
Goats,Carcase,Abscess Neck,2020-01,England,8,1375,59,0.582
Goats,Carcase,Abscess Neck,2020-02,England,26,1530,61,1.699
Goats,Carcase,Abscess Neck,2020-03,England,27,2244,68,1.203
Goats,Carcase,Bruising ??? Traumatic,2020-01,England,1,1375,59,0.073
Goats,Carcase,Bruising ??? Traumatic,2020-03,England,2,2244,68,0.089
Goats,Carcase,Bruising ??? Wool Pull,2020-01,England,1,1375,59,0.073
Goats,Carcase,Contamination,2020-01,England,7,1375,59,0.509
Goats,Carcase,Contamination,2020-02,England,5,1530,61,0.327
Goats,Carcase,Contamination,2020-03,England,22,2244,68,0.98
Goats,Carcase,Cysticercus ovis (Carcase),2020-03,England,2,2244,68,0.089
Goats,Carcase,Cysticercus ovis (Carcase),2020-01,Wales,1,37,5,2.703
Goats,Carcase,Hydatid Cyst,2020-02,England,2,1530,61,0.131
Goats,Carcase,Joint Lesions,2020-01,England,10,1375,59,0.727
Goats,Carcase,Joint Lesions,2020-02,England,12,1530,61,0.784
Goats,Carcase,Joint Lesions,2020-03,England,12,2244,68,0.535
Goats,Carcase,Joint Lesions,2020-03,Wales,1,45,6,2.222
Goats,Carcase,Other,2020-01,England,1,1375,59,0.073
Goats,Carcase,Other,2020-02,England,31,1530,61,2.026
Goats,Carcase,Other,2020-03,England,25,2244,68,1.114
Goats,Offal,Contamination,2020-01,England,20,1375,59,1.455
Goats,Offal,Contamination,2020-02,England,16,1530,61,1.046
Goats,Offal,Contamination,2020-03,England,43,2244,68,1.916
Goats,Offal,Cysticercus ovis (Offal),2020-01,England,3,1375,59,0.218
Goats,Offal,Cysticercus ovis (Offal),2020-03,England,5,2244,68,0.223
Goats,Offal,Cysticercus tenuicollis,2020-01,England,25,1375,59,1.818
Goats,Offal,Cysticercus tenuicollis,2020-02,England,39,1530,61,2.549
Goats,Offal,Cysticercus tenuicollis,2020-03,England,97,2244,68,4.323
Goats,Offal,Cysticercus tenuicollis,2020-02,Wales,3,28,6,10.714
Goats,Offal,Fluke Immature,2020-01,England,1,1375,59,0.073
Goats,Offal,Fluke Immature,2020-02,England,13,1530,61,0.85
Goats,Offal,Fluke Immature,2020-03,England,17,2244,68,0.758
Goats,Offal,Fluke Mature,2020-01,England,19,1375,59,1.382
Goats,Offal,Fluke Mature,2020-02,England,24,1530,61,1.569
Goats,Offal,Fluke Mature,2020-03,England,48,2244,68,2.139
Goats,Offal,Fluke Mature,2020-01,Wales,2,37,5,5.405
Goats,Offal,Historic Liver Scarring,2020-01,England,3,1375,59,0.218
Goats,Offal,Historic Liver Scarring,2020-02,England,8,1530,61,0.523
Goats,Offal,Historic Liver Scarring,2020-03,England,27,2244,68,1.203
Goats,Offal,Hydatid Cyst,2020-01,England,1,1375,59,0.073
Goats,Offal,Lung Abscesses,2020-01,England,4,1375,59,0.291
Goats,Offal,Lung Abscesses,2020-02,England,18,1530,61,1.176
Goats,Offal,Lung Abscesses,2020-03,England,9,2244,68,0.401
Goats,Offal,Lung Worm ,2020-01,England,34,1375,59,2.473
Goats,Offal,Lung Worm ,2020-02,England,44,1530,61,2.876
Goats,Offal,Lung Worm ,2020-03,England,63,2244,68,2.807
Goats,Offal,Lung Worm ,2020-01,Wales,4,37,5,10.811
Goats,Offal,Lung Worm ,2020-02,Wales,1,28,6,3.571
Goats,Offal,Lung Worm ,2020-03,Wales,2,45,6,4.444
Goats,Offal,Other,2020-01,England,32,1375,59,2.327
Goats,Offal,Other,2020-02,England,14,1530,61,0.915
Goats,Offal,Other,2020-03,England,15,2244,68,0.668
Goats,Offal,Other,2020-02,Wales,2,28,6,7.143
Goats,Offal,Other,2020-03,Wales,2,45,6,4.444
Goats,Offal,Pneumonia Mycoplasma Like,2020-01,England,45,1375,59,3.273
Goats,Offal,Pneumonia Mycoplasma Like,2020-02,England,58,1530,61,3.791
Goats,Offal,Pneumonia Mycoplasma Like,2020-03,England,62,2244,68,2.763
Goats,Offal,Pneumonia Mycoplasma Like,2020-02,Wales,5,28,6,17.857
Goats,Offal,Pneumonia Mycoplasma Like,2020-03,Wales,1,45,6,2.222
Goats,Offal,Pneumonia Pasteurella Like,2020-01,England,14,1375,59,1.018
Goats,Offal,Pneumonia Pasteurella Like,2020-02,England,17,1530,61,1.111
Goats,Offal,Pneumonia Pasteurella Like,2020-03,England,2,2244,68,0.089
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2020-01,England,3,1375,59,0.218
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2020-02,England,1,1530,61,0.065
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2020-03,England,1,2244,68,0.045
Goats,Total Rejection,Septicaemia/Fever,2020-01,England,1,1375,59,0.073
Goats,Total Rejection,Septicaemia/Fever,2020-03,Wales,1,45,6,2.222
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-01,England,6846,703049,129,0.974
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-02,England,5567,610475,123,0.912
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-03,England,6887,675077,125,1.02
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-01,Wales,1295,245598,16,0.527
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-02,Wales,1173,169654,16,0.691
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-03,Wales,1192,162782,15,0.732
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2020-01,England,24,703049,129,0.003
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2020-02,England,21,610475,123,0.003
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2020-03,England,19,675077,125,0.003
Sheep,AnteMortem,Dead in Lairage (DIL),2020-01,England,22,703049,129,0.003
Sheep,AnteMortem,Dead in Lairage (DIL),2020-01,England,42,703049,129,0.006
Sheep,AnteMortem,Dead in Lairage (DIL),2020-02,England,55,610475,123,0.009
Sheep,AnteMortem,Dead in Lairage (DIL),2020-02,England,29,610475,123,0.005
Sheep,AnteMortem,Dead in Lairage (DIL),2020-03,England,26,675077,125,0.004
Sheep,AnteMortem,Dead in Lairage (DIL),2020-03,England,114,675077,125,0.017
Sheep,AnteMortem,Dead in Lairage (DIL),2020-01,Wales,18,245598,16,0.007
Sheep,AnteMortem,Dead in Lairage (DIL),2020-01,Wales,14,245598,16,0.006
Sheep,AnteMortem,Dead in Lairage (DIL),2020-02,Wales,14,169654,16,0.008
Sheep,AnteMortem,Dead in Lairage (DIL),2020-02,Wales,16,169654,16,0.009
Sheep,AnteMortem,Dead in Lairage (DIL),2020-03,Wales,13,162782,15,0.008
Sheep,AnteMortem,Dead in Lairage (DIL),2020-03,Wales,14,162782,15,0.009
Sheep,AnteMortem,Dead on Arrival (DOA),2020-01,England,17,703049,129,0.002
Sheep,AnteMortem,Dead on Arrival (DOA),2020-01,England,16,703049,129,0.002
Sheep,AnteMortem,Dead on Arrival (DOA),2020-02,England,20,610475,123,0.003
Sheep,AnteMortem,Dead on Arrival (DOA),2020-02,England,30,610475,123,0.005
Sheep,AnteMortem,Dead on Arrival (DOA),2020-03,England,29,675077,125,0.004
Sheep,AnteMortem,Dead on Arrival (DOA),2020-03,England,18,675077,125,0.003
Sheep,AnteMortem,Dead on Arrival (DOA),2020-01,Wales,21,245598,16,0.009
Sheep,AnteMortem,Dead on Arrival (DOA),2020-01,Wales,20,245598,16,0.008
Sheep,AnteMortem,Dead on Arrival (DOA),2020-02,Wales,22,169654,16,0.013
Sheep,AnteMortem,Dead on Arrival (DOA),2020-02,Wales,21,169654,16,0.012
Sheep,AnteMortem,Dead on Arrival (DOA),2020-03,Wales,20,162782,15,0.012
Sheep,AnteMortem,Dead on Arrival (DOA),2020-03,Wales,20,162782,15,0.012
Sheep,AnteMortem,Emaciation,2020-01,England,146,703049,129,0.021
Sheep,AnteMortem,Emaciation,2020-02,England,77,610475,123,0.013
Sheep,AnteMortem,Emaciation,2020-03,England,81,675077,125,0.012
Sheep,AnteMortem,Eye Condition,2020-01,England,369,703049,129,0.052
Sheep,AnteMortem,Eye Condition,2020-02,England,312,610475,123,0.051
Sheep,AnteMortem,Eye Condition,2020-03,England,377,675077,125,0.056
Sheep,AnteMortem,Eye Condition,2020-01,Wales,20,245598,16,0.008
Sheep,AnteMortem,Eye Condition,2020-02,Wales,15,169654,16,0.009
Sheep,AnteMortem,Eye Condition,2020-02,Wales,1,169654,16,0.001
Sheep,AnteMortem,Eye Condition,2020-03,Wales,9,162782,15,0.006
Sheep,AnteMortem,Fever,2020-01,England,3,703049,129,0
Sheep,AnteMortem,Fever,2020-02,England,1,610475,123,0
Sheep,AnteMortem,Fever,2020-02,England,4,610475,123,0.001
Sheep,AnteMortem,Fever,2020-03,England,2,675077,125,0
Sheep,AnteMortem,Fever,2020-03,Wales,1,162782,15,0.001
Sheep,AnteMortem,Lameness - Foot Lesion(s),2020-01,England,3213,703049,129,0.457
Sheep,AnteMortem,Lameness - Foot Lesion(s),2020-02,England,2744,610475,123,0.449
Sheep,AnteMortem,Lameness - Foot Lesion(s),2020-03,England,2851,675077,125,0.422
Sheep,AnteMortem,Lameness - Foot Lesion(s),2020-01,Wales,19,245598,16,0.008
