Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2018-01,England,28,5076,68,0.552
Goats,AnteMortem,Abnormal Respiratory Signs,2018-02,England,8,1214,64,0.659
Goats,AnteMortem,Abnormal Respiratory Signs,2018-03,England,3,1518,65,0.198
Goats,AnteMortem,Dead in Lairage (DIL),2018-02,England,1,1214,64,0.082
Goats,AnteMortem,Emaciation,2018-01,England,2,5076,68,0.039
Goats,AnteMortem,Emaciation,2018-02,England,1,1214,64,0.082
Goats,AnteMortem,Emaciation,2018-03,England,4,1518,65,0.264
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-01,England,5,5076,68,0.099
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-02,England,6,1214,64,0.494
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-03,England,5,1518,65,0.329
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-01,England,28,5076,68,0.552
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-02,England,1,1214,64,0.082
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-03,England,7,1518,65,0.461
Goats,AnteMortem,Lameness - Not Defined,2018-01,England,26,5076,68,0.512
Goats,AnteMortem,Lameness - Not Defined,2018-02,England,8,1214,64,0.659
Goats,AnteMortem,Lameness - Not Defined,2018-03,England,3,1518,65,0.198
Goats,AnteMortem,Mastitis,2018-02,England,1,1214,64,0.082
Goats,AnteMortem,Mastitis,2018-03,England,2,1518,65,0.132
Goats,AnteMortem,Moribund/ Recumbent,2018-01,England,2,5076,68,0.039
Goats,AnteMortem,Moribund/ Recumbent,2018-02,England,2,1214,64,0.165
Goats,AnteMortem,Other *,2018-02,England,4,1214,64,0.329
Goats,AnteMortem,Other *,2018-03,England,1,1518,65,0.066
Goats,AnteMortem,Skin Condition,2018-01,England,2,5076,68,0.039
Goats,AnteMortem,Skin Condition,2018-02,England,2,1214,64,0.165
Goats,AnteMortem,Slaughtered in Lairage,2018-03,England,1,1518,65,0.066
Goats,Carcase,Abscess Forequarters,2018-01,England,121,5076,68,2.384
Goats,Carcase,Abscess Forequarters,2018-02,England,13,1214,64,1.071
Goats,Carcase,Abscess Forequarters,2018-03,England,32,1518,65,2.108
Goats,Carcase,Abscess Hindquarters,2018-01,England,45,5076,68,0.887
Goats,Carcase,Abscess Hindquarters,2018-02,England,8,1214,64,0.659
Goats,Carcase,Abscess Hindquarters,2018-03,England,2,1518,65,0.132
Goats,Carcase,Abscess Neck,2018-01,England,64,5076,68,1.261
Goats,Carcase,Abscess Neck,2018-02,England,3,1214,64,0.247
Goats,Carcase,Abscess Neck,2018-03,England,10,1518,65,0.659
Goats,Carcase,Bruising ??? Traumatic,2018-01,England,26,5076,68,0.512
Goats,Carcase,Bruising ??? Wool Pull,2018-01,England,20,5076,68,0.394
Goats,Carcase,Contamination,2018-01,England,156,5076,68,3.073
Goats,Carcase,Contamination,2018-02,England,9,1214,64,0.741
Goats,Carcase,Contamination,2018-03,England,4,1518,65,0.264
Goats,Carcase,Contamination,2018-03,Wales,1,21,4,4.762
Goats,Carcase,Cysticercus ovis (Carcase),2018-01,England,25,5076,68,0.493
Goats,Carcase,Cysticercus ovis (Carcase),2018-03,England,1,1518,65,0.066
Goats,Carcase,Joint Lesions,2018-01,England,53,5076,68,1.044
Goats,Carcase,Joint Lesions,2018-02,England,5,1214,64,0.412
Goats,Carcase,Joint Lesions,2018-03,England,4,1518,65,0.264
Goats,Carcase,Other,2018-01,England,16,5076,68,0.315
Goats,Carcase,Other,2018-02,England,19,1214,64,1.565
Goats,Carcase,Other,2018-03,England,3,1518,65,0.198
Goats,Offal,Contamination,2018-01,England,32,5076,68,0.63
Goats,Offal,Contamination,2018-02,England,14,1214,64,1.153
Goats,Offal,Contamination,2018-03,England,12,1518,65,0.791
Goats,Offal,Cysticercus ovis (Offal),2018-01,England,36,5076,68,0.709
Goats,Offal,Cysticercus ovis (Offal),2018-03,England,1,1518,65,0.066
Goats,Offal,Cysticercus tenuicollis,2018-01,England,421,5076,68,8.294
Goats,Offal,Cysticercus tenuicollis,2018-02,England,21,1214,64,1.73
Goats,Offal,Cysticercus tenuicollis,2018-03,England,11,1518,65,0.725
Goats,Offal,Cysticercus tenuicollis,2018-01,Wales,3,45,6,6.667
Goats,Offal,Cysticercus tenuicollis,2018-03,Wales,2,21,4,9.524
Goats,Offal,Fluke Immature,2018-01,England,217,5076,68,4.275
Goats,Offal,Fluke Immature,2018-02,England,3,1214,64,0.247
Goats,Offal,Fluke Immature,2018-03,England,3,1518,65,0.198
Goats,Offal,Fluke Mature,2018-01,England,321,5076,68,6.324
Goats,Offal,Fluke Mature,2018-02,England,7,1214,64,0.577
Goats,Offal,Fluke Mature,2018-03,England,32,1518,65,2.108
Goats,Offal,Historic Liver Scarring,2018-01,England,113,5076,68,2.226
Goats,Offal,Historic Liver Scarring,2018-02,England,4,1214,64,0.329
Goats,Offal,Historic Liver Scarring,2018-03,England,5,1518,65,0.329
Goats,Offal,Hydatid Cyst,2018-01,England,110,5076,68,2.167
Goats,Offal,Lung Abscesses,2018-01,England,46,5076,68,0.906
Goats,Offal,Lung Abscesses,2018-02,England,4,1214,64,0.329
Goats,Offal,Lung Abscesses,2018-03,England,4,1518,65,0.264
Goats,Offal,Lung Worm ,2018-01,England,148,5076,68,2.916
Goats,Offal,Lung Worm ,2018-02,England,18,1214,64,1.483
Goats,Offal,Lung Worm ,2018-03,England,20,1518,65,1.318
Goats,Offal,Lung Worm ,2018-03,Wales,2,21,4,9.524
Goats,Offal,Other,2018-01,England,33,5076,68,0.65
Goats,Offal,Other,2018-02,England,19,1214,64,1.565
Goats,Offal,Other,2018-03,England,5,1518,65,0.329
Goats,Offal,Pneumonia Mycoplasma Like,2018-01,England,117,5076,68,2.305
Goats,Offal,Pneumonia Mycoplasma Like,2018-02,England,22,1214,64,1.812
Goats,Offal,Pneumonia Mycoplasma Like,2018-03,England,28,1518,65,1.845
Goats,Offal,Pneumonia Mycoplasma Like,2018-01,Wales,8,45,6,17.778
Goats,Offal,Pneumonia Mycoplasma Like,2018-02,Wales,1,26,6,3.846
Goats,Offal,Pneumonia Mycoplasma Like,2018-03,Wales,7,21,4,33.333
Goats,Offal,Pneumonia Pasteurella Like,2018-01,England,66,5076,68,1.3
Goats,Offal,Pneumonia Pasteurella Like,2018-02,England,5,1214,64,0.412
Goats,Offal,Pneumonia Pasteurella Like,2018-03,England,10,1518,65,0.659
