Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2020-07,England,9,3384,63,0.266
Goats,AnteMortem,Abnormal Respiratory Signs,2020-08,England,20,1699,61,1.177
Goats,AnteMortem,Abnormal Respiratory Signs,2020-09,England,4,1678,66,0.238
Goats,AnteMortem,Dead in Lairage (DIL),2020-07,England,1,3384,63,0.03
Goats,AnteMortem,Dead in Lairage (DIL),2020-07,England,1,3384,63,0.03
Goats,AnteMortem,Dead in Lairage (DIL),2020-08,England,1,1699,61,0.059
Goats,AnteMortem,Eye Condition,2020-07,England,4,3384,63,0.118
Goats,AnteMortem,Eye Condition,2020-09,England,1,1678,66,0.06
Goats,AnteMortem,Lameness - Foot Lesion(s),2020-07,England,2,3384,63,0.059
Goats,AnteMortem,Lameness - Foot Lesion(s),2020-08,England,3,1699,61,0.177
Goats,AnteMortem,Lameness - Foot Lesion(s),2020-09,England,1,1678,66,0.06
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2020-07,England,4,3384,63,0.118
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2020-08,England,2,1699,61,0.118
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2020-09,England,6,1678,66,0.358
Goats,AnteMortem,Lameness - Not Defined,2020-07,England,24,3384,63,0.709
Goats,AnteMortem,Lameness - Not Defined,2020-08,England,2,1699,61,0.118
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2020-07,England,1,3384,63,0.03
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2020-08,England,3,1699,61,0.177
Goats,AnteMortem,Mastitis,2020-07,England,1,3384,63,0.03
Goats,AnteMortem,Mastitis,2020-08,England,8,1699,61,0.471
Goats,AnteMortem,Mastitis,2020-09,England,8,1678,66,0.477
Goats,AnteMortem,Notifiable Disease *,2020-07,England,23,3384,63,0.68
Goats,AnteMortem,Orf,2020-08,England,2,1699,61,0.118
Goats,AnteMortem,Other *,2020-08,England,4,1699,61,0.235
Goats,AnteMortem,Other *,2020-09,England,2,1678,66,0.119
Goats,AnteMortem,Skin Condition,2020-07,England,1,3384,63,0.03
Goats,AnteMortem,Skin Condition,2020-09,England,2,1678,66,0.119
Goats,AnteMortem,Slaughtered in Lairage,2020-07,England,1,3384,63,0.03
Goats,Carcase,Abscess Forequarters,2020-07,England,115,3384,63,3.398
Goats,Carcase,Abscess Forequarters,2020-08,England,50,1699,61,2.943
Goats,Carcase,Abscess Forequarters,2020-09,England,9,1678,66,0.536
Goats,Carcase,Abscess Hindquarters,2020-07,England,21,3384,63,0.621
Goats,Carcase,Abscess Hindquarters,2020-08,England,7,1699,61,0.412
Goats,Carcase,Abscess Hindquarters,2020-09,England,6,1678,66,0.358
Goats,Carcase,Abscess Neck,2020-07,England,130,3384,63,3.842
Goats,Carcase,Abscess Neck,2020-08,England,45,1699,61,2.649
Goats,Carcase,Abscess Neck,2020-09,England,9,1678,66,0.536
Goats,Carcase,Bruising – Traumatic,2020-07,England,4,3384,63,0.118
Goats,Carcase,Bruising – Traumatic,2020-09,England,2,1678,66,0.119
Goats,Carcase,Bruising – Wool Pull,2020-07,England,22,3384,63,0.65
Goats,Carcase,Bruising – Wool Pull,2020-08,England,1,1699,61,0.059
Goats,Carcase,Contamination,2020-07,England,145,3384,63,4.285
Goats,Carcase,Contamination,2020-08,England,19,1699,61,1.118
Goats,Carcase,Contamination,2020-09,England,20,1678,66,1.192
Goats,Carcase,Cysticercus ovis (Carcase),2020-07,England,26,3384,63,0.768
Goats,Carcase,Cysticercus ovis (Carcase),2020-08,England,2,1699,61,0.118
Goats,Carcase,Joint Lesions,2020-07,England,49,3384,63,1.448
Goats,Carcase,Joint Lesions,2020-08,England,10,1699,61,0.589
Goats,Carcase,Joint Lesions,2020-09,England,10,1678,66,0.596
Goats,Carcase,Localised Tuberculosis (suspect) *,2020-09,England,1,1678,66,0.06
Goats,Carcase,Other,2020-07,England,103,3384,63,3.044
Goats,Carcase,Other,2020-08,England,12,1699,61,0.706
Goats,Carcase,Other,2020-09,England,15,1678,66,0.894
Goats,Offal,Contamination,2020-07,England,108,3384,63,3.191
Goats,Offal,Contamination,2020-08,England,18,1699,61,1.059
Goats,Offal,Contamination,2020-09,England,11,1678,66,0.656
Goats,Offal,Cysticercus ovis (Offal),2020-07,England,18,3384,63,0.532
Goats,Offal,Cysticercus ovis (Offal),2020-08,England,3,1699,61,0.177
Goats,Offal,Cysticercus tenuicollis,2020-07,England,174,3384,63,5.142
Goats,Offal,Cysticercus tenuicollis,2020-08,England,27,1699,61,1.589
Goats,Offal,Cysticercus tenuicollis,2020-09,England,25,1678,66,1.49
Goats,Offal,Cysticercus tenuicollis,2020-07,Wales,1,37,6,2.703
Goats,Offal,Fluke Immature,2020-07,England,122,3384,63,3.605
Goats,Offal,Fluke Immature,2020-08,England,4,1699,61,0.235
Goats,Offal,Fluke Immature,2020-09,England,1,1678,66,0.06
Goats,Offal,Fluke Immature,2020-07,Wales,1,37,6,2.703
Goats,Offal,Fluke Mature,2020-07,England,128,3384,63,3.783
Goats,Offal,Fluke Mature,2020-09,England,1,1678,66,0.06
Goats,Offal,Fluke Mature,2020-07,Wales,4,37,6,10.811
Goats,Offal,Fluke Mature,2020-08,Wales,1,24,6,4.167
Goats,Offal,Historic Liver Scarring,2020-07,England,8,3384,63,0.236
Goats,Offal,Historic Liver Scarring,2020-08,England,2,1699,61,0.118
Goats,Offal,Historic Liver Scarring,2020-09,England,10,1678,66,0.596
Goats,Offal,Hydatid Cyst,2020-07,England,2,3384,63,0.059
Goats,Offal,Lung Abscesses,2020-07,England,15,3384,63,0.443
Goats,Offal,Lung Abscesses,2020-08,England,8,1699,61,0.471
Goats,Offal,Lung Abscesses,2020-09,England,8,1678,66,0.477
Goats,Offal,Lung Worm ,2020-07,England,138,3384,63,4.078
Goats,Offal,Lung Worm ,2020-08,England,35,1699,61,2.06
Goats,Offal,Lung Worm ,2020-09,England,45,1678,66,2.682
Goats,Offal,Lung Worm ,2020-07,Wales,3,37,6,8.108
Goats,Offal,Lung Worm ,2020-08,Wales,3,24,6,12.5
