Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AM,Abnormal Respiratory Signs,2016-07,England,20,1241,69,1.612
Goats,AM,Abnormal Respiratory Signs,2016-08,England,8,1223,65,0.654
Goats,AM,Abnormal Respiratory Signs,2016-09,England,26,1404,66,1.852
Goats,AM,Abnormal Respiratory Signs,2016-10,England,16,1528,72,1.047
Goats,AM,Abnormal Respiratory Signs,2016-11,England,11,1381,69,0.797
Goats,AM,Abnormal Respiratory Signs,2017-01,England,7,1359,70,0.515
Goats,AM,Abnormal Respiratory Signs,2017-02,England,17,1283,64,1.325
Goats,AM,Abnormal Respiratory Signs,2017-03,England,10,1639,73,0.61
Goats,AM,Abnormal Swelling (e.g. Bloat),2016-07,England,1,1241,69,0.081
Goats,AM,Abnormal Swelling (e.g. Bloat),2016-08,England,2,1223,65,0.164
Goats,AM,Abnormal Swelling (e.g. Bloat),2016-11,England,1,1381,69,0.072
Goats,AM,Dead in Lairage (DIL),2016-07,England,2,1241,69,0.161
Goats,AM,Dead in Lairage (DIL),2016-09,England,2,1404,66,0.142
Goats,AM,Dead in Lairage (DIL),2016-11,England,6,1381,69,0.434
Goats,AM,Dead in Lairage (DIL),2017-03,England,2,1639,73,0.122
Goats,AM,Dead on Arrival (DOA),2016-07,England,4,1241,69,0.322
Goats,AM,Dead on Arrival (DOA),2016-08,England,2,1223,65,0.164
Goats,AM,Emaciation,2016-07,England,6,1241,69,0.483
Goats,AM,Emaciation,2016-08,England,4,1223,65,0.327
Goats,AM,Emaciation,2016-09,England,1,1404,66,0.071
Goats,AM,Emaciation,2016-10,England,1,1528,72,0.065
Goats,AM,Emaciation,2016-12,England,2,1057,59,0.189
Goats,AM,Emaciation,2017-02,England,1,1283,64,0.078
Goats,AM,Emaciation,2017-03,England,6,1639,73,0.366
Goats,AM,Eye Condition,2016-07,England,11,1241,69,0.886
Goats,AM,Eye Condition,2016-08,England,7,1223,65,0.572
Goats,AM,Eye Condition,2016-11,England,2,1381,69,0.145
Goats,AM,Eye Condition,2017-02,England,1,1283,64,0.078
Goats,AM,Eye Condition,2017-03,England,2,1639,73,0.122
Goats,AM,Fever,2016-07,England,1,1241,69,0.081
Goats,AM,Fever,2016-08,England,1,1223,65,0.082
Goats,AM,Lameness - Foot Lesion(s),2016-07,England,9,1241,69,0.725
Goats,AM,Lameness - Foot Lesion(s),2016-08,England,10,1223,65,0.818
Goats,AM,Lameness - Foot Lesion(s),2016-09,England,17,1404,66,1.211
Goats,AM,Lameness - Foot Lesion(s),2016-10,England,18,1528,72,1.178
Goats,AM,Lameness - Foot Lesion(s),2016-11,England,16,1381,69,1.159
Goats,AM,Lameness - Foot Lesion(s),2016-12,England,2,1057,59,0.189
Goats,AM,Lameness - Foot Lesion(s),2017-01,England,3,1359,70,0.221
Goats,AM,Lameness - Foot Lesion(s),2017-02,England,10,1283,64,0.779
Goats,AM,Lameness - Foot Lesion(s),2017-03,England,5,1639,73,0.305
Goats,AM,Lameness - Joint/Leg Lesion(s),2016-07,England,6,1241,69,0.483
Goats,AM,Lameness - Joint/Leg Lesion(s),2016-08,England,5,1223,65,0.409
Goats,AM,Lameness - Joint/Leg Lesion(s),2016-09,England,2,1404,66,0.142
Goats,AM,Lameness - Joint/Leg Lesion(s),2016-10,England,8,1528,72,0.524
Goats,AM,Lameness - Joint/Leg Lesion(s),2016-11,England,8,1381,69,0.579
Goats,AM,Lameness - Joint/Leg Lesion(s),2016-12,England,3,1057,59,0.284
Goats,AM,Lameness - Joint/Leg Lesion(s),2017-01,England,6,1359,70,0.442
Goats,AM,Lameness - Joint/Leg Lesion(s),2017-02,England,6,1283,64,0.468
Goats,AM,Lameness - Joint/Leg Lesion(s),2017-03,England,2,1639,73,0.122
Goats,AM,Lameness - Not Defined,2016-07,England,4,1241,69,0.322
Goats,AM,Lameness - Not Defined,2016-08,England,1,1223,65,0.082
Goats,AM,Lameness - Not Defined,2016-09,England,6,1404,66,0.427
Goats,AM,Lameness - Not Defined,2016-10,England,3,1528,72,0.196
Goats,AM,Lameness - Not Defined,2016-11,England,3,1381,69,0.217
Goats,AM,Lameness - Not Defined,2017-01,England,3,1359,70,0.221
Goats,AM,Lameness - Not Defined,2017-02,England,2,1283,64,0.156
Goats,AM,Lameness - Not Defined,2017-03,England,5,1639,73,0.305
Goats,AM,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2016-07,England,82,1241,69,6.608
Goats,AM,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2016-08,England,32,1223,65,2.617
Goats,AM,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2016-09,England,25,1404,66,1.781
Goats,AM,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2016-10,England,1,1528,72,0.065
Goats,AM,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2016-11,England,36,1381,69,2.607
Goats,AM,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2016-12,England,1,1057,59,0.095
