Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2018-07,England,6,1563,65,0.384
Goats,AnteMortem,Abnormal Respiratory Signs,2018-08,England,3,1760,73,0.17
Goats,AnteMortem,Abnormal Respiratory Signs,2018-09,England,19,3711,79,0.512
Goats,AnteMortem,Dead in Lairage (DIL),2018-07,England,4,1563,65,0.256
Goats,AnteMortem,Dead in Lairage (DIL),2018-08,England,1,1760,73,0.057
Goats,AnteMortem,Emaciation,2018-07,England,1,1563,65,0.064
Goats,AnteMortem,Eye Condition,2018-07,England,2,1563,65,0.128
Goats,AnteMortem,Fever,2018-09,England,2,3711,79,0.054
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-07,England,3,1563,65,0.192
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-08,England,4,1760,73,0.227
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-09,England,1,3711,79,0.027
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-07,England,2,1563,65,0.128
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-08,England,1,1760,73,0.057
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-09,England,1,3711,79,0.027
Goats,AnteMortem,Lameness - Not Defined,2018-07,England,1,1563,65,0.064
Goats,AnteMortem,Lameness - Not Defined,2018-08,England,1,1760,73,0.057
Goats,AnteMortem,Lameness - Not Defined,2018-09,England,8,3711,79,0.216
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2018-07,England,2,1563,65,0.128
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2018-09,England,1,3711,79,0.027
Goats,AnteMortem,Mastitis,2018-07,England,8,1563,65,0.512
Goats,AnteMortem,Mastitis,2018-08,England,2,1760,73,0.114
Goats,AnteMortem,Notifiable Disease *,2018-09,England,1,3711,79,0.027
Goats,AnteMortem,Skin Condition,2018-07,England,1,1563,65,0.064
Goats,AnteMortem,Trauma - Fracture/Dislocations,2018-08,England,1,1760,73,0.057
Goats,AnteMortem,Trauma - Soft Tissue,2018-09,England,2,3711,79,0.054
Goats,Carcase,Abscess Forequarters,2018-07,England,20,1563,65,1.28
Goats,Carcase,Abscess Forequarters,2018-08,England,6,1760,73,0.341
Goats,Carcase,Abscess Forequarters,2018-09,England,64,3711,79,1.725
Goats,Carcase,Abscess Hindquarters,2018-07,England,5,1563,65,0.32
Goats,Carcase,Abscess Hindquarters,2018-09,England,34,3711,79,0.916
Goats,Carcase,Abscess Neck,2018-07,England,4,1563,65,0.256
Goats,Carcase,Abscess Neck,2018-08,England,9,1760,73,0.511
Goats,Carcase,Abscess Neck,2018-09,England,31,3711,79,0.835
Goats,Carcase,Bruising ? Traumatic,2018-07,England,1,1563,65,0.064
Goats,Carcase,Bruising ? Traumatic,2018-09,England,6,3711,79,0.162
Goats,Carcase,Bruising ? Wool Pull,2018-09,England,10,3711,79,0.269
Goats,Carcase,Contamination,2018-07,England,9,1563,65,0.576
Goats,Carcase,Contamination,2018-08,England,8,1760,73,0.455
Goats,Carcase,Contamination,2018-09,England,16,3711,79,0.431
Goats,Carcase,Cysticercus ovis (Carcase),2018-09,England,11,3711,79,0.296
Goats,Carcase,Joint Lesions,2018-07,England,7,1563,65,0.448
Goats,Carcase,Joint Lesions,2018-08,England,2,1760,73,0.114
Goats,Carcase,Joint Lesions,2018-09,England,9,3711,79,0.243
Goats,Carcase,Other,2018-07,England,13,1563,65,0.832
Goats,Carcase,Other,2018-08,England,5,1760,73,0.284
Goats,Carcase,Other,2018-09,England,18,3711,79,0.485
Goats,Offal,Contamination,2018-07,England,13,1563,65,0.832
Goats,Offal,Contamination,2018-08,England,43,1760,73,2.443
Goats,Offal,Contamination,2018-09,England,23,3711,79,0.62
Goats,Offal,Contamination,2018-07,Wales,2,53,8,3.774
