Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2020-10,England,11,1839,67,0.598
Goats,AnteMortem,Abnormal Respiratory Signs,2020-11,England,5,1601,69,0.312
Goats,AnteMortem,Dead in Lairage (DIL),2020-10,England,1,1839,67,0.054
Goats,AnteMortem,Dead in Lairage (DIL),2020-11,England,1,1601,69,0.062
Goats,AnteMortem,Dead in Lairage (DIL),2020-12,England,1,1239,55,0.081
Goats,AnteMortem,Dead in Lairage (DIL),2020-12,England,1,1239,55,0.081
Goats,AnteMortem,Eye Condition,2020-10,England,2,1839,67,0.109
Goats,AnteMortem,Eye Condition,2020-12,England,1,1239,55,0.081
Goats,AnteMortem,Lameness - Foot Lesion(s),2020-10,England,2,1839,67,0.109
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2020-10,England,4,1839,67,0.218
Goats,AnteMortem,Lameness - Not Defined,2020-10,England,1,1839,67,0.054
Goats,AnteMortem,Lameness - Not Defined,2020-11,England,1,1601,69,0.062
Goats,AnteMortem,Lameness - Not Defined,2020-12,England,1,1239,55,0.081
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2020-10,England,1,1839,67,0.054
Goats,AnteMortem,Mastitis,2020-10,England,5,1839,67,0.272
Goats,AnteMortem,Mastitis,2020-12,England,8,1239,55,0.646
Goats,AnteMortem,Orf,2020-10,England,4,1839,67,0.218
Goats,AnteMortem,Other *,2020-12,England,1,1239,55,0.081
Goats,Carcase,Abscess Forequarters,2020-10,England,32,1839,67,1.74
Goats,Carcase,Abscess Forequarters,2020-11,England,32,1601,69,1.999
Goats,Carcase,Abscess Forequarters,2020-12,England,29,1239,55,2.341
Goats,Carcase,Abscess Hindquarters,2020-10,England,3,1839,67,0.163
Goats,Carcase,Abscess Hindquarters,2020-11,England,2,1601,69,0.125
Goats,Carcase,Abscess Hindquarters,2020-12,England,2,1239,55,0.161
Goats,Carcase,Abscess Neck,2020-10,England,32,1839,67,1.74
Goats,Carcase,Abscess Neck,2020-11,England,56,1601,69,3.498
Goats,Carcase,Abscess Neck,2020-12,England,8,1239,55,0.646
Goats,Carcase,Abscess Neck,2020-10,Wales,1,19,4,5.263
Goats,Carcase,Abscess Neck,2020-11,Wales,1,47,6,2.128
Goats,Carcase,Bruising – Traumatic,2020-10,England,1,1839,67,0.054
Goats,Carcase,Bruising – Traumatic,2020-11,England,1,1601,69,0.062
Goats,Carcase,Contamination,2020-10,England,21,1839,67,1.142
Goats,Carcase,Contamination,2020-11,England,8,1601,69,0.5
Goats,Carcase,Contamination,2020-12,England,20,1239,55,1.614
Goats,Carcase,Contamination,2020-11,Wales,7,47,6,14.894
Goats,Carcase,Joint Lesions,2020-10,England,18,1839,67,0.979
Goats,Carcase,Joint Lesions,2020-11,England,5,1601,69,0.312
Goats,Carcase,Joint Lesions,2020-12,England,2,1239,55,0.161
Goats,Carcase,Other,2020-10,England,9,1839,67,0.489
Goats,Carcase,Other,2020-11,England,5,1601,69,0.312
Goats,Carcase,Other,2020-12,England,14,1239,55,1.13
Goats,Offal,Contamination,2020-10,England,23,1839,67,1.251
Goats,Offal,Contamination,2020-11,England,30,1601,69,1.874
Goats,Offal,Contamination,2020-12,England,26,1239,55,2.098
Goats,Offal,Cysticercus ovis (Offal),2020-10,England,3,1839,67,0.163
Goats,Offal,Cysticercus ovis (Offal),2020-11,England,3,1601,69,0.187
Goats,Offal,Cysticercus ovis (Offal),2020-10,Wales,1,19,4,5.263
Goats,Offal,Cysticercus tenuicollis,2020-10,England,22,1839,67,1.196
Goats,Offal,Cysticercus tenuicollis,2020-11,England,23,1601,69,1.437
Goats,Offal,Cysticercus tenuicollis,2020-12,England,22,1239,55,1.776
Goats,Offal,Cysticercus tenuicollis,2020-12,Wales,1,19,5,5.263
Goats,Offal,Fluke Immature,2020-10,England,1,1839,67,0.054
Goats,Offal,Fluke Immature,2020-11,England,3,1601,69,0.187
Goats,Offal,Fluke Immature,2020-12,England,4,1239,55,0.323
Goats,Offal,Fluke Mature,2020-10,England,6,1839,67,0.326
Goats,Offal,Fluke Mature,2020-11,England,8,1601,69,0.5
Goats,Offal,Fluke Mature,2020-12,England,6,1239,55,0.484
Goats,Offal,Fluke Mature,2020-10,Wales,1,19,4,5.263
Goats,Offal,Fluke Mature,2020-11,Wales,6,47,6,12.766
Goats,Offal,Historic Liver Scarring,2020-10,England,5,1839,67,0.272
Goats,Offal,Historic Liver Scarring,2020-11,England,8,1601,69,0.5
Goats,Offal,Historic Liver Scarring,2020-12,England,1,1239,55,0.081
Goats,Offal,Hydatid Cyst,2020-10,England,2,1839,67,0.109
Goats,Offal,Hydatid Cyst,2020-11,England,4,1601,69,0.25
Goats,Offal,Hydatid Cyst,2020-12,England,12,1239,55,0.969
Goats,Offal,Lung Abscesses,2020-10,England,8,1839,67,0.435
Goats,Offal,Lung Abscesses,2020-11,England,14,1601,69,0.874
Goats,Offal,Lung Abscesses,2020-12,England,4,1239,55,0.323
Goats,Offal,Lung Worm ,2020-10,England,32,1839,67,1.74
Goats,Offal,Lung Worm ,2020-11,England,51,1601,69,3.186
Goats,Offal,Lung Worm ,2020-12,England,28,1239,55,2.26
Goats,Offal,Lung Worm ,2020-11,Wales,1,47,6,2.128
Goats,Offal,Other,2020-10,England,8,1839,67,0.435
Goats,Offal,Other,2020-11,England,12,1601,69,0.75
Goats,Offal,Other,2020-12,England,20,1239,55,1.614
Goats,Offal,Pneumonia Mycoplasma Like,2020-10,England,72,1839,67,3.915
Goats,Offal,Pneumonia Mycoplasma Like,2020-11,England,74,1601,69,4.622
Goats,Offal,Pneumonia Mycoplasma Like,2020-12,England,20,1239,55,1.614
Goats,Offal,Pneumonia Pasteurella Like,2020-10,England,12,1839,67,0.653
Goats,Offal,Pneumonia Pasteurella Like,2020-11,England,21,1601,69,1.312
Goats,Offal,Pneumonia Pasteurella Like,2020-12,England,11,1239,55,0.888
Goats,Total Rejection,Emaciation/Generalised Oedema,2020-10,England,2,1839,67,0.109
Goats,Total Rejection,Emaciation/Generalised Oedema,2020-11,England,5,1601,69,0.312
Goats,Total Rejection,Emaciation/Generalised Oedema,2020-12,England,1,1239,55,0.081
Goats,Total Rejection,Generalised Tuberculosis (Suspect),2020-10,England,1,1839,67,0.054
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2020-10,England,3,1839,67,0.163
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2020-11,England,7,1601,69,0.437
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2020-12,England,2,1239,55,0.161
Goats,Total Rejection,Other,2020-10,England,2,1839,67,0.109
Goats,Total Rejection,Polyarthritis,2020-10,England,1,1839,67,0.054
Goats,Total Rejection,Septicaemia/Fever,2020-10,England,3,1839,67,0.163
Goats,Total Rejection,Septicaemia/Fever,2020-11,England,2,1601,69,0.125
Goats,Total Rejection,Septicaemia/Fever,2020-12,England,4,1239,55,0.323
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-10,England,6428,878680,121,0.732
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-11,England,5953,870282,124,0.684
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-12,England,7982,960238,122,0.831
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-10,Wales,774,282027,16,0.274
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-10,Wales,1,282027,16,0
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-11,Wales,859,260937,16,0.329
Sheep,AnteMortem,Abnormal Respiratory Signs,2020-12,Wales,583,255979,16,0.228
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2020-10,England,20,878680,121,0.002
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2020-11,England,6,870282,124,0.001
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2020-12,England,39,960238,122,0.004
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2020-10,Wales,6,282027,16,0.002
Sheep,AnteMortem,Dead in Lairage (DIL),2020-10,England,31,878680,121,0.004
Sheep,AnteMortem,Dead in Lairage (DIL),2020-10,England,98,878680,121,0.011
