Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2018-10,England,5,2033,76,0.246
Goats,AnteMortem,Abnormal Respiratory Signs,2018-11,England,3,1782,72,0.168
Goats,AnteMortem,Abnormal Respiratory Signs,2018-12,England,1,1311,61,0.076
Goats,AnteMortem,Dead in Lairage (DIL),2018-12,England,2,1311,61,0.153
Goats,AnteMortem,Emaciation,2018-11,England,2,1782,72,0.112
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-10,England,13,2033,76,0.639
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-11,England,8,1782,72,0.449
Goats,AnteMortem,Lameness - Foot Lesion(s),2018-12,England,1,1311,61,0.076
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-10,England,1,2033,76,0.049
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-11,England,1,1782,72,0.056
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2018-12,England,1,1311,61,0.076
Goats,AnteMortem,Lameness - Not Defined,2018-10,England,2,2033,76,0.098
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2018-11,England,1,1782,72,0.056
Goats,AnteMortem,Mastitis,2018-11,England,2,1782,72,0.112
Goats,AnteMortem,Mastitis,2018-12,England,4,1311,61,0.305
Goats,AnteMortem,Notifiable Disease *,2018-11,England,14,1782,72,0.786
Goats,AnteMortem,Trauma - Soft Tissue,2018-11,England,1,1782,72,0.056
Goats,Carcase,Abscess Forequarters,2018-10,England,38,2033,76,1.869
Goats,Carcase,Abscess Forequarters,2018-11,England,20,1782,72,1.122
Goats,Carcase,Abscess Forequarters,2018-12,England,4,1311,61,0.305
Goats,Carcase,Abscess Forequarters,2018-11,Wales,1,33,7,3.03
Goats,Carcase,Abscess Hindquarters,2018-10,England,5,2033,76,0.246
Goats,Carcase,Abscess Hindquarters,2018-11,England,3,1782,72,0.168
Goats,Carcase,Abscess Hindquarters,2018-12,England,8,1311,61,0.61
Goats,Carcase,Abscess Neck,2018-10,England,9,2033,76,0.443
Goats,Carcase,Abscess Neck,2018-11,England,3,1782,72,0.168
Goats,Carcase,Abscess Neck,2018-12,England,2,1311,61,0.153
Goats,Carcase,Bruising ? Traumatic,2018-10,England,6,2033,76,0.295
Goats,Carcase,Bruising ? Wool Pull,2018-10,England,1,2033,76,0.049
Goats,Carcase,Contamination,2018-10,England,18,2033,76,0.885
Goats,Carcase,Contamination,2018-11,England,32,1782,72,1.796
Goats,Carcase,Contamination,2018-12,England,10,1311,61,0.763
Goats,Carcase,Joint Lesions,2018-10,England,4,2033,76,0.197
Goats,Carcase,Joint Lesions,2018-11,England,6,1782,72,0.337
Goats,Carcase,Joint Lesions,2018-12,England,3,1311,61,0.229
Goats,Carcase,Other,2018-10,England,16,2033,76,0.787
Goats,Carcase,Other,2018-11,England,11,1782,72,0.617
Goats,Carcase,Other,2018-12,England,6,1311,61,0.458
Goats,Offal,Contamination,2018-10,England,38,2033,76,1.869
